ID;Year_Birth;Education;Marital_Status;Income;Age;Total_Children;Kidhome;Teenhome;Is_Parent;Family_Size;Dt_Customer;Recency;Customer_Tenure;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;Total_Spending;Total_Purchases;Avg_Spending_per_Purchase;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp1;AcceptedCmp2;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;Total_Campaigns_Accepted;Complain
2569;1987;Graduation;Married;17323;37;0;0;0;0;2;10/10/2012;38;4401;3;14;17;6;1;5;46;5;9.2;1;1;0;3;8;0;0;0;0;0;0;0
2114;1946;Phd;Single;82800;78;0;0;0;0;1;24/11/2012;23;4356;1006;22;115;59;68;45;1315;26;50.57692308;1;7;6;12;3;1;0;0;0;1;2;0
9736;1980;Graduation;Married;41850;44;2;1;1;1;4;24/12/2012;51;4326;53;5;19;2;13;4;96;9;10.66666667;3;3;0;3;8;0;0;0;0;0;0;0
4939;1946;Graduation;Together;37760;78;0;0;0;0;2;31/08/2012;20;4441;84;5;38;150;12;28;317;13;24.38461538;2;4;1;6;7;0;0;0;0;0;0;0
6565;1949;Master;Married;76995;75;1;0;1;1;3;28/03/2013;91;4232;1012;80;498;0;16;176;1782;26;68.53846154;2;11;4;9;5;1;0;0;0;0;1;0
2278;1985;2nd cycle;Single;33812;39;1;1;0;1;2;03/11/2012;86;4377;4;17;19;30;24;39;133;8;16.625;2;2;1;3;6;0;0;0;0;0;0;0
9360;1982;Graduation;Married;37040;42;0;0;0;0;2;08/08/2012;41;4464;86;2;73;69;38;48;316;12;26.33333333;1;4;2;5;8;0;0;0;0;0;0;0
5376;1979;Graduation;Married;2447;45;1;1;0;1;3;06/01/2013;42;4313;1;1;1725;1;1;1;1730;43;40.23255814;15;0;28;0;1;0;0;0;0;0;0;0
1993;1949;Phd;Married;58607;75;1;0;1;1;3;23/12/2012;63;4327;867;0;86;0;0;19;972;17;57.17647059;3;2;3;9;8;0;0;0;1;0;1;0
4047;1954;Phd;Married;65324;70;1;0;1;1;3;11/01/2014;0;3943;384;0;102;21;32;5;544;20;27.2;3;6;2;9;4;0;0;0;0;0;0;0
1409;1951;Graduation;Together;40689;73;1;0;1;1;3;18/03/2013;69;4242;270;3;27;39;6;99;444;20;22.2;7;7;1;5;8;0;0;0;0;0;0;0
7892;1969;Graduation;Single;18589;55;0;0;0;0;1;02/01/2013;89;4317;6;4;25;15;12;13;75;8;9.375;2;2;1;3;7;0;0;0;0;0;0;0
2404;1976;Graduation;Married;53359;48;2;1;1;1;4;27/05/2013;4;4172;173;4;30;3;6;41;257;14;18.35714286;4;5;1;4;7;0;0;0;0;0;0;0
9422;1989;Graduation;Married;38360;35;1;1;0;1;3;31/05/2013;26;4168;36;2;42;20;21;10;131;9;14.55555556;2;2;1;4;3;0;0;0;0;0;0;0
1966;1965;Phd;Married;84618;59;0;0;0;0;2;22/11/2013;96;3993;684;100;801;21;66;0;1672;26;64.30769231;1;6;9;10;2;0;0;0;0;1;1;0
6864;1989;Master;Divorced;10979;35;0;0;0;0;1;22/05/2014;34;3812;8;4;10;2;2;4;30;8;3.75;2;3;0;3;5;0;0;0;0;0;0;0
3033;1963;Master;Together;38620;61;0;0;0;0;2;11/05/2013;56;4188;112;17;44;34;22;89;318;11;28.90909091;1;2;5;3;3;0;0;0;0;0;0;0
5710;1970;Graduation;Together;40548;54;1;0;1;1;3;10/10/2012;31;4401;110;0;5;2;0;3;120;9;13.33333333;2;2;1;4;5;0;0;0;1;0;1;0
7373;1952;Phd;Divorced;46610;72;2;0;2;1;3;29/10/2012;8;4382;96;12;96;33;22;43;302;17;17.76470588;6;4;1;6;6;0;0;0;0;0;0;0
8755;1946;Master;Married;68657;78;0;0;0;0;2;20/02/2013;4;4268;482;34;471;119;68;22;1196;18;66.44444444;1;3;5;9;7;0;0;0;0;0;0;0
10738;1951;Master;Single;49389;73;2;1;1;1;3;29/08/2013;55;4078;40;0;19;2;1;3;65;6;10.83333333;1;2;0;3;7;0;0;0;0;0;0;0
4339;1970;Phd;Married;67353;54;1;0;1;1;3;31/12/2013;37;3954;702;17;151;0;8;35;913;28;32.60714286;5;5;6;12;2;0;0;0;0;0;0;0
10755;1976;2nd cycle;Married;23718;48;1;1;0;1;3;02/09/2013;76;4074;6;3;14;15;7;36;81;9;9;3;3;1;2;7;0;0;0;0;0;0;0
8595;1973;Graduation;Widow;42429;51;1;0;1;1;2;11/02/2014;99;3912;55;0;6;2;0;4;67;7;9.571428571;2;1;1;3;5;0;0;0;0;0;0;0
2968;1943;Phd;Divorced;48948;81;0;0;0;0;1;01/02/2013;53;4287;437;8;206;160;49;42;902;24;37.58333333;2;7;10;5;6;0;0;1;0;0;1;0
8601;1980;Graduation;Married;80011;44;1;0;1;1;3;29/04/2013;3;4200;421;76;536;82;178;102;1395;21;66.42857143;2;8;6;5;4;0;0;0;0;0;0;0
503;1985;Master;Married;20559;39;1;1;0;1;3;12/03/2013;88;4248;13;1;29;3;0;7;53;7;7.571428571;2;2;0;3;8;0;0;0;0;0;0;0
8430;1957;Graduation;Together;21994;67;1;0;1;1;3;24/12/2012;4;4326;9;0;6;3;1;3;22;4;5.5;1;0;0;3;5;0;0;0;0;0;0;0
2139;1975;Master;Married;7500;49;1;1;0;1;3;02/10/2013;19;4044;3;1;10;3;2;12;31;8;3.875;3;2;0;3;5;0;0;0;0;0;0;0
1371;1976;Graduation;Single;79941;48;0;0;0;0;1;28/06/2014;72;3775;123;164;266;227;30;174;984;16;61.5;1;2;4;9;1;0;0;0;0;0;0;0
9909;1996;2nd cycle;Married;7500;28;0;0;0;0;2;09/11/2012;24;4371;3;18;14;15;22;50;122;10;12.2;3;3;1;3;9;0;0;0;0;0;0;0
7286;1968;Graduation;Together;41728;56;1;1;0;1;3;24/05/2013;92;4175;13;6;15;3;5;13;55;5;11;1;2;0;2;10;0;0;0;0;0;0;0
6566;1954;Phd;Married;72550;70;2;1;1;1;4;08/11/2012;39;4372;826;50;317;50;38;38;1319;28;47.10714286;9;5;2;12;8;0;0;0;0;0;0;0
8614;1957;Graduation;Widow;65486;67;1;0;1;1;2;12/05/2014;29;3822;245;19;125;37;67;14;507;17;29.82352941;1;4;2;10;2;0;0;0;0;0;0;0
4114;1964;Master;Married;79143;60;0;0;0;0;2;11/08/2012;2;4461;650;37;780;27;167;32;1693;29;58.37931034;1;6;9;13;3;0;0;0;0;0;0;0
1331;1977;Graduation;Single;35790;47;1;1;0;1;2;02/01/2013;54;4317;12;6;20;30;1;3;72;7;10.28571429;2;2;0;3;7;0;0;0;0;0;0;0
2225;1977;Graduation;Divorced;82582;47;0;0;0;0;1;07/06/2014;54;3796;510;120;550;156;40;241;1617;21;77;1;4;9;7;1;1;0;1;0;0;2;0
9381;1978;Graduation;Married;66373;46;2;1;1;1;4;12/06/2013;57;4156;328;9;124;12;24;109;606;23;26.34782609;7;4;2;10;3;0;0;0;0;0;0;0
6260;1955;Master;Together;82384;69;0;0;0;0;2;19/11/2012;55;4361;984;51;432;180;120;190;1957;27;72.48148148;1;3;10;13;1;0;0;0;0;1;1;0
10383;1966;Graduation;Divorced;70287;58;0;0;0;0;1;02/04/2013;30;4227;295;35;482;121;120;40;1093;21;52.04761905;1;5;5;10;3;0;0;0;0;0;0;0
7437;1988;Graduation;Single;27938;36;1;1;0;1;2;28/04/2014;31;3836;13;0;8;2;1;5;29;6;4.833333333;1;1;0;4;3;0;0;0;0;0;0;0
8375;1968;Phd;Married;55954;56;1;0;1;1;3;03/03/2014;63;3892;447;0;28;0;0;43;518;19;27.26315789;3;8;2;6;7;0;0;0;0;0;0;0
6853;1982;Master;Single;75777;42;0;0;0;0;1;04/07/2013;12;4134;712;26;538;69;13;80;1438;21;68.47619048;1;3;6;11;1;0;0;0;1;1;2;0
3076;1975;Graduation;Together;66653;49;2;1;1;1;4;07/09/2012;18;4434;452;18;102;16;18;6;612;22;27.81818182;4;4;2;12;3;0;0;0;0;0;0;0
1012;1952;Graduation;Single;61823;72;1;0;1;1;2;18/02/2013;26;4270;523;7;134;37;14;169;884;24;36.83333333;4;8;2;10;7;0;0;0;0;0;0;0
6518;1951;Phd;Widow;67680;73;1;0;1;1;2;11/06/2013;8;4157;546;0;48;0;6;6;606;19;31.89473684;1;7;3;8;5;0;0;0;0;0;0;0
4137;1948;Graduation;Together;70666;76;0;0;0;0;2;06/12/2013;29;3979;398;40;367;119;122;30;1076;16;67.25;1;7;4;4;4;0;0;0;0;0;0;0
8082;1971;Graduation;Married;25721;53;1;1;0;1;3;21/05/2013;75;4178;1;3;6;3;6;15;34;5;6.8;1;1;1;2;7;0;0;0;0;0;0;0
1386;1967;Graduation;Together;32474;57;2;1;1;1;4;11/05/2014;0;3823;10;0;1;0;0;0;11;4;2.75;1;1;0;2;7;0;0;0;0;0;0;0
9369;1979;2nd cycle;Single;88194;45;1;0;1;1;2;19/03/2014;19;3876;688;14;309;201;24;38;1274;32;39.8125;1;11;10;10;5;1;0;1;0;0;2;0
4477;1958;Graduation;Together;69096;66;1;0;1;1;3;27/09/2013;4;4049;247;49;159;7;82;109;653;18;36.27777778;1;5;2;10;4;0;0;0;0;0;0;0
1357;1970;Graduation;Together;74854;54;3;1;2;1;5;08/04/2013;90;4221;856;59;487;58;29;73;1562;19;82.21052632;7;2;5;5;5;0;0;0;0;0;0;0
1402;1954;Master;Married;66991;70;0;0;0;0;2;11/09/2012;1;4430;496;36;460;189;60;12;1253;21;59.66666667;3;4;8;6;3;0;0;0;0;0;0;0
6312;1959;Graduation;Married;65031;65;1;0;1;1;3;17/03/2013;29;4243;258;107;291;84;37;86;863;30;28.76666667;4;10;3;13;7;0;0;0;0;0;0;0
8132;1975;Phd;Married;60631;49;2;1;1;1;4;05/04/2013;88;4224;565;6;65;0;6;19;661;24;27.54166667;5;9;2;8;7;0;0;0;1;0;1;0
1050;1952;Graduation;Married;28332;72;0;0;0;0;2;30/04/2014;58;3834;14;10;13;4;15;9;65;8;8.125;1;2;1;4;2;0;0;0;0;0;0;0
5846;1977;Graduation;Divorced;40246;47;1;1;0;1;2;19/12/2012;68;4331;2;1;6;2;1;1;13;4;3.25;1;1;0;2;6;0;0;0;0;0;0;0
1859;1972;Master;Married;75251;52;0;0;0;0;2;27/08/2012;34;4445;721;111;925;97;18;18;1890;19;99.47368421;1;7;6;5;5;0;0;0;0;0;0;0
7503;1976;Graduation;Single;75825;48;0;0;0;0;1;12/10/2012;40;4399;1032;105;779;137;105;51;2209;22;100.4090909;0;5;8;9;4;0;0;1;0;0;1;0
10401;1976;2nd cycle;Together;26326;48;0;0;0;0;2;04/09/2013;12;4072;1;0;5;0;3;9;18;4;4.5;1;0;0;3;3;0;0;0;0;0;0;1
1618;1965;Graduation;Together;56046;59;0;0;0;0;2;02/01/2013;9;4317;577;0;64;0;0;51;692;21;32.95238095;2;10;1;8;8;0;0;1;0;0;1;0
3332;1985;Graduation;Single;29760;39;1;1;0;1;2;29/08/2012;87;4443;64;4;68;7;5;17;165;12;13.75;4;3;1;4;8;0;0;0;0;0;0;0
2261;1969;Graduation;Married;26304;55;1;1;0;1;3;23/06/2013;5;4145;4;1;5;2;0;4;16;4;4;1;1;0;2;7;0;0;0;0;0;0;0
5346;1973;2nd cycle;Married;23559;51;1;1;0;1;3;03/07/2013;87;4135;25;5;19;7;0;23;79;9;8.777777778;3;3;0;3;7;0;0;0;0;0;0;0
4119;1963;Master;Together;38620;61;0;0;0;0;2;11/05/2013;56;4188;112;17;44;34;22;89;318;11;28.90909091;1;2;5;3;3;0;0;0;0;0;0;0
535;1987;Graduation;Divorced;81361;37;0;0;0;0;1;25/02/2014;18;3898;163;23;424;27;65;76;778;27;28.81481481;1;3;10;13;1;0;0;0;0;0;0;0
5268;1960;Graduation;Married;29440;64;2;1;1;1;4;11/08/2013;95;4096;17;8;14;10;4;3;56;7;8;2;1;0;4;7;0;0;0;0;0;0;0
273;1970;Master;Married;36138;54;2;1;1;1;4;16/07/2013;48;4122;130;0;16;0;0;5;151;13;11.61538462;5;3;1;4;7;0;0;0;1;0;1;0
4452;1957;Graduation;Single;50388;67;1;0;1;1;2;28/05/2014;3;3806;292;6;37;0;3;34;372;17;21.88235294;4;6;1;6;7;1;0;0;1;0;2;0
8504;1973;Graduation;Married;79593;51;0;0;0;0;2;12/05/2014;70;3822;350;60;568;110;133;145;1366;19;71.89473684;1;5;6;7;2;0;0;0;0;1;1;0
771;1967;Graduation;Together;54178;57;1;0;1;1;3;21/01/2014;79;3933;135;9;39;4;0;7;194;10;19.4;1;2;2;5;2;0;0;0;0;0;0;0
11178;1972;Master;Single;42394;52;1;1;0;1;2;23/03/2014;69;3872;15;2;10;0;1;4;32;5;6.4;1;1;0;3;7;0;0;0;0;0;0;0
2230;1970;Phd;Married;23626;54;1;1;0;1;3;24/05/2014;84;3810;27;2;14;0;0;0;43;10;4.3;3;3;1;3;5;0;0;0;0;0;0;0
7516;1983;Graduation;Married;30096;41;1;1;0;1;3;22/05/2014;30;3812;5;3;11;12;5;9;45;6;7.5;1;2;0;3;6;0;0;0;0;0;0;0
7247;1960;Graduation;Widow;47916;64;1;0;1;1;2;22/11/2012;72;4358;505;0;26;0;0;75;606;22;27.54545455;5;7;4;6;6;0;0;0;1;0;1;0
11100;1972;Graduation;Divorced;51813;52;2;1;1;1;3;11/04/2013;37;4218;51;2;7;0;1;2;63;7;9;2;2;0;3;7;0;0;0;0;0;0;0
4646;1951;2nd cycle;Married;78497;73;0;0;0;0;2;01/12/2013;44;3984;207;26;447;75;0;223;978;25;39.12;1;5;7;12;2;1;0;0;0;0;1;0
3037;1983;Phd;Married;50150;41;0;0;0;0;2;20/06/2013;32;4148;135;46;92;65;61;11;410;16;25.625;2;5;2;7;5;0;0;0;0;0;0;0
1473;1960;2nd cycle;Single;47823;64;1;0;1;1;2;23/07/2013;0;4115;53;1;5;2;1;10;72;7;10.28571429;2;2;0;3;8;0;0;0;0;0;0;0
1016;1959;Phd;Single;34554;65;1;0;1;1;2;30/03/2014;43;3865;41;1;6;2;0;5;55;7;7.857142857;2;2;0;3;6;0;0;0;0;0;0;0
4518;1979;Graduation;Together;85693;45;1;0;1;1;3;20/04/2013;59;4209;386;172;183;185;132;111;1169;27;43.2962963;2;9;5;11;5;0;0;0;0;0;0;0
9370;1945;Phd;Married;65846;79;0;0;0;0;2;17/05/2013;68;4182;562;81;276;80;40;81;1120;16;70;1;6;3;6;4;0;0;0;0;0;0;0
8908;1959;Graduation;Married;87195;65;0;0;0;0;2;08/05/2014;35;3826;217;76;690;50;26;38;1097;20;54.85;1;3;11;5;1;0;0;0;0;0;0;0
8373;1979;Basic;Together;24594;45;1;1;0;1;3;10/12/2013;94;3975;1;3;6;10;0;9;29;5;5.8;1;1;0;3;5;0;0;0;0;0;0;0
7533;1964;Graduation;Married;49096;60;2;1;1;1;4;24/09/2013;15;4052;144;1;32;2;1;7;187;13;14.38461538;4;4;1;4;7;0;0;0;0;0;0;0
2683;1969;Graduation;Married;52413;55;2;0;2;1;4;02/02/2013;56;4286;295;106;271;75;98;65;910;26;35;4;6;4;12;6;0;0;0;0;0;0;0
3629;1978;Graduation;Single;38557;46;1;1;0;1;2;19/12/2012;17;4331;76;3;31;4;4;27;145;9;16.11111111;2;3;1;3;7;0;0;0;0;0;0;0
10991;1960;Master;Married;89058;64;0;0;0;0;2;07/12/2012;18;4343;454;194;106;31;22;43;850;14;60.71428571;1;5;4;4;2;0;0;0;0;0;0;0
5077;1979;Graduation;Together;77298;45;1;0;1;1;3;02/11/2013;46;4013;425;115;292;23;35;79;969;24;40.375;1;6;6;11;3;0;0;0;0;0;0;0
7431;1991;Phd;Single;68126;33;0;0;0;0;1;10/11/2012;40;4370;1332;17;311;23;51;86;1820;17;107.0588235;1;7;4;5;9;0;0;0;1;0;1;0
3267;1963;Master;Together;57288;61;1;0;1;1;3;25/06/2014;27;3778;527;0;21;0;0;60;608;20;30.4;3;8;1;8;6;0;0;0;1;0;1;0
999;1991;Graduation;Single;86037;33;0;0;0;0;1;02/01/2013;95;4317;490;44;125;29;20;22;730;25;29.2;1;6;7;11;3;0;0;0;1;1;2;0
9215;1980;Phd;Married;43974;44;1;1;0;1;3;12/12/2012;19;4338;378;0;101;0;0;72;551;21;26.23809524;5;6;4;6;7;0;0;0;0;0;0;0
2286;1962;Graduation;Single;50785;62;2;1;1;1;3;10/09/2013;27;4066;64;1;21;0;1;27;114;8;14.25;2;2;1;3;6;0;0;0;0;0;0;0
1592;1970;Graduation;Married;90765;54;0;0;0;0;2;24/01/2014;25;3930;547;99;812;151;82;33;1724;15;114.9333333;0;4;6;5;1;1;0;0;0;1;2;0
367;1978;2nd cycle;Married;36550;46;1;1;0;1;3;19/02/2013;74;4269;47;90;94;123;103;120;577;20;28.85;5;9;1;5;9;0;0;0;0;0;0;0
5234;1967;2nd cycle;Together;30753;57;2;1;1;1;4;11/07/2013;85;4127;12;5;25;0;9;30;81;7;11.57142857;2;1;1;3;5;0;0;0;0;0;0;0
9862;1969;Graduation;Together;21918;55;1;1;0;1;3;14/11/2013;37;4001;1;6;7;11;5;3;33;7;4.714285714;2;2;0;3;6;0;0;0;0;0;0;0
9805;1953;Master;Together;56129;71;1;0;1;1;3;20/06/2013;65;4148;320;48;133;39;72;48;660;22;30;4;6;2;10;4;0;0;0;0;0;0;0
6205;1967;Master;Single;32557;57;1;1;0;1;2;24/02/2014;13;3899;34;3;29;0;4;10;80;9;8.888888889;3;2;1;3;5;0;0;0;0;0;0;0
8442;1985;Master;Married;19510;39;2;2;0;1;4;04/09/2013;63;4072;9;0;7;3;4;7;30;6;5;2;1;0;3;7;0;0;0;0;0;0;0
7386;1976;Graduation;Divorced;30992;48;1;1;0;1;2;22/04/2013;83;4207;17;0;14;7;3;2;43;5;8.6;1;1;0;3;7;0;0;0;0;0;0;0
7215;1983;Graduation;Single;101970;41;0;0;0;0;1;12/03/2013;69;4248;722;27;102;44;72;168;1135;27;42.03703704;0;6;8;13;2;1;0;0;1;1;3;0
1491;1965;2nd cycle;Together;71488;59;0;0;0;0;2;18/02/2013;87;4270;162;33;124;40;28;172;559;16;34.9375;2;3;4;7;1;0;0;0;0;0;0;0
11071;1984;Graduation;Single;79607;40;0;0;0;0;1;21/04/2013;37;4208;450;133;951;173;0;216;1923;16;120.1875;1;3;6;6;1;0;0;0;0;0;0;0
3381;1953;Master;Married;54348;71;2;1;1;1;4;08/06/2014;51;3795;70;0;16;0;0;4;90;8;11.25;2;2;0;4;6;0;0;0;0;0;0;0
11051;1956;Phd;Together;77376;68;2;1;1;1;4;10/05/2014;72;3824;492;19;110;16;12;12;661;23;28.73913043;4;6;3;10;4;0;0;0;0;0;0;0
8026;1952;Graduation;Married;62998;72;1;0;1;1;3;30/09/2013;10;4046;120;58;73;65;89;58;463;19;24.36842105;5;5;4;5;5;0;0;0;0;0;0;0
9597;1969;Graduation;Married;73448;55;0;0;0;0;2;10/02/2014;10;3913;236;106;189;23;41;130;725;19;38.15789474;1;7;2;9;4;0;0;0;0;0;0;0
5290;1964;Phd;Married;41551;60;2;1;1;1;4;14/08/2013;51;4093;220;0;33;3;0;23;279;16;17.4375;5;5;1;5;8;0;0;0;0;0;0;0
1685;1967;Phd;Together;62981;57;0;0;0;0;2;17/03/2013;21;4243;796;14;590;38;44;0;1482;23;64.43478261;1;4;5;13;3;0;0;0;1;0;1;0
5342;1976;Basic;Divorced;9548;48;1;1;0;1;2;08/08/2012;31;4464;0;1;3;10;6;9;29;6;4.833333333;2;1;0;3;8;0;0;0;0;0;0;0
9579;1959;Phd;Married;33762;65;3;2;1;1;5;07/07/2013;61;4131;53;1;34;2;0;16;106;9;11.77777778;3;2;2;2;8;0;0;0;0;0;0;0
1461;1965;Phd;Divorced;36921;59;2;1;1;1;3;28/07/2013;74;4110;17;1;12;3;1;4;38;7;5.428571429;2;2;0;3;7;0;0;0;0;0;0;0
821;1992;Master;Single;92859;32;0;0;0;0;1;19/10/2012;46;4392;962;61;921;52;61;20;2077;22;94.40909091;1;5;4;12;2;0;0;0;0;0;0;0
11084;1976;Master;Together;65104;48;1;0;1;1;3;14/11/2013;4;4001;738;0;232;13;20;50;1053;17;61.94117647;2;3;5;7;7;0;0;0;0;0;0;0
8690;1962;Graduation;Married;86111;62;0;0;0;0;2;19/04/2013;73;4210;399;28;756;36;40;126;1385;23;60.2173913;1;5;7;10;2;0;0;0;0;0;0;0
2937;1974;Phd;Single;68352;50;1;0;1;1;2;28/08/2013;47;4079;614;16;132;43;33;33;871;25;34.84;3;8;5;9;6;0;0;0;0;0;0;0
9701;1988;Graduation;Together;41883;36;1;1;0;1;3;19/03/2013;13;4241;32;34;41;73;16;116;312;12;26;3;4;2;3;7;0;0;0;0;0;0;0
9949;1976;Graduation;Married;59809;48;2;0;2;1;4;18/10/2012;36;4393;598;16;141;32;41;49;877;15;58.46666667;3;3;3;6;8;0;0;0;0;0;0;0
10837;1975;Graduation;Married;23957;49;1;1;0;1;3;28/10/2012;47;4383;2;1;18;20;11;16;68;6;11.33333333;1;2;0;3;6;0;0;0;0;0;0;0
3120;1981;Graduation;Together;38547;43;1;1;0;1;3;28/08/2013;49;4079;6;1;10;0;1;4;22;4;5.5;1;1;0;2;8;0;0;0;0;0;0;1
5885;1973;2nd cycle;Married;35688;51;3;2;1;1;5;22/08/2012;94;4450;73;3;90;12;1;32;211;16;13.1875;7;4;1;4;8;0;0;0;0;0;0;0
4050;1966;Master;Married;49605;58;0;0;0;0;2;21/06/2014;65;3782;42;16;29;12;20;8;127;8;15.875;1;2;1;4;3;0;0;0;0;0;0;0
3830;1953;Master;Married;59354;71;2;0;2;1;4;24/04/2014;59;3840;295;21;78;39;13;13;459;16;28.6875;1;4;4;7;3;0;0;0;0;0;0;0
7987;1969;Graduation;Married;65747;55;1;0;1;1;3;07/03/2014;96;3888;346;17;48;23;13;13;460;19;24.21052632;4;8;1;6;6;0;0;0;1;0;1;0
7798;1972;2nd cycle;Together;46344;52;1;0;1;1;3;14/12/2012;28;4336;233;20;57;8;20;91;429;17;25.23529412;4;7;1;5;7;0;0;0;0;0;0;0
7055;1952;Phd;Together;61010;72;1;0;1;1;3;09/10/2012;57;4402;888;0;57;0;0;76;1021;26;39.26923077;2;8;5;11;5;0;0;0;0;0;0;0
10240;1949;Graduation;Together;69372;75;0;0;0;0;2;19/02/2013;10;4269;997;26;269;34;13;42;1381;21;65.76190476;1;10;4;6;4;0;0;0;1;1;2;0
3025;1958;Graduation;Single;49967;66;1;0;1;1;2;08/07/2013;4;4130;212;6;69;4;12;3;306;15;20.4;3;6;1;5;7;0;0;0;0;0;0;0
9283;1978;Graduation;Single;60199;46;3;1;2;1;4;12/09/2013;49;4064;8;1;7;2;0;0;18;4;4.5;1;0;0;3;4;0;0;0;0;0;0;0
9970;1977;Graduation;Together;55375;47;1;0;1;1;3;17/10/2013;3;4029;42;11;57;10;28;14;162;9;18;1;1;1;6;2;0;0;0;0;0;0;0
2730;1955;Graduation;Single;80317;69;0;0;0;0;1;20/08/2013;64;4087;536;11;387;149;91;57;1231;18;68.38888889;1;3;4;10;1;0;0;0;0;0;0;0
2795;1958;Master;Single;30523;66;3;2;1;1;4;01/07/2013;0;4137;5;0;3;0;0;5;13;4;3.25;1;1;0;2;7;0;0;0;0;0;0;0
9260;1945;Phd;Married;70356;79;0;0;0;0;2;05/11/2012;20;4375;1349;16;249;43;16;33;1706;27;63.18518519;2;10;6;9;6;0;0;0;0;0;0;0
8182;1984;Graduation;Married;23228;40;1;1;0;1;3;05/01/2014;91;3949;53;3;49;7;4;5;121;11;11;4;3;0;4;8;0;0;0;0;0;0;0
10095;1975;Phd;Divorced;74165;49;0;0;0;0;1;01/05/2013;9;4198;1001;12;240;16;12;12;1293;20;64.65;1;5;4;10;2;0;0;0;0;0;0;0
8475;1973;Phd;Married;157243;51;1;0;1;1;3;01/03/2014;98;3894;20;2;1582;1;2;1;1608;37;43.45945946;15;0;22;0;0;0;0;0;0;0;0;0
4370;1966;Graduation;Together;43482;58;3;2;1;1;5;13/11/2013;83;4002;18;1;32;6;3;28;88;9;9.777777778;3;2;0;4;6;0;0;0;0;0;0;0
10573;1953;Graduation;Divorced;62551;71;0;0;0;0;1;18/11/2013;27;3997;125;16;98;134;21;27;421;18;23.38888889;1;6;7;4;3;0;0;1;0;0;1;0
3712;1959;Graduation;Divorced;52332;65;0;0;0;0;1;28/08/2013;63;4079;212;5;33;7;0;2;259;12;21.58333333;1;3;2;6;4;0;0;0;1;0;1;0
6637;1988;Graduation;Single;66951;36;0;0;0;0;1;02/11/2013;46;4013;277;162;305;173;76;124;1117;15;74.46666667;1;3;4;7;1;0;0;0;0;0;0;0
3152;1957;Graduation;Together;26091;67;2;1;1;1;4;25/02/2014;84;3898;15;10;19;8;17;20;89;9;9.888888889;3;2;1;3;5;0;0;0;0;0;0;0
